code,description
0126T,Common carotid intima-media thickness (IMT) study for evaluation of atherosclerotic burden or coronary heart disease risk factor assessment (Deprecated) 
0126U,"Fetal congenital abnormalities and perinatal complications, biochemical assays of 5 analytes (free beta-hCG, PAPP-A, AFP, placental growth factor, and inhibin-A), time-resolved fluorescence immunoassay, includes qualitative assessment of Y... (Deprecated) "
01270,Anesthesia for procedure on artery of upper leg
01272,Anesthesia for ligation of femoral artery
01274,Anesthesia for embolectomy of femoral artery
0127U,"Obstetrics (preeclampsia), biochemical assays of 3 analytes (PAPP-A, AFP, and placental growth factor), time-resolved fluorescence immunoassay, maternal serum, predictive algorithm reported as a risk score for preeclampsia (Deprecated) "
0128U,"Obstetrics (preeclampsia), biochemical assays of 3 analytes (PAPP-A, AFP, and placental growth factor), time-resolved fluorescence immunoassay, includes qualitative assessment of Y chromosome in cell-free fetal DNA, maternal serum and plas... (Deprecated) "
0129U,HEREDITARY BRST CA RLTD DO GEN SEQ&DEL/DUP PNL
01300,
0130T,
0130U,HEREDITARY COLON CA DO TRGT MRNA SEQ ALYS PANEL
0131U,HERED BRST CA RLTD DO TRGT MRNA SEQ ALYS 13 GENE
01320,Anesthesia for procedure on nerve of knee area
0132U,HERED OVA CA RLTD DO TRGT MRNA SEQ ALYS 17 GENE
0133T,
0133U,HERED PRST8 CA RLTD DO TRGT MRNA SEQ ALYS 11 GEN
01340,ANESTHESIA CLOSED PROCEDURES LOWER 1/3 FEMUR
0134U,HEREDITARY PAN CA TRGT MRNA SEQ ALYS 18 GENE
0135T,
0135U,HEREDITARY GYN CA TRGT MRNA SEQ ALYS 12 GENE
01360,ANESTHESIA OPEN PROCEDURES LOWER 1/3 FEMUR
0136U,ATM MRNA SEQUENCE ANALYSIS
0137T,
0137U,PALB2 MRNA SEQUENCE ANALYSIS
01380,ANESTHESIA CLOSED PROCEDURES KNEE JOINT
01382,ANESTH DIAGNOSTIC ARTHROSCOPIC PROC KNEE JOINT
0138U,BRCA1 BRCA2 MRNA SEQUENCE ANALYSIS
01390,ANES CLOSED PROC UPPER END TIBIA FIBULA/PATELLA
01392,ANES OPEN PROC UPPER ENDS TIBIA FIBULA&/PATELLA
0139U,NEURO AUTISM QUAN MEAS 6 CTR CARBON METABOLITES
01400,Anesthesia for open procedure on knee joint
01402,ANESTH OPEN/SURG ARTHRS TOTAL KNEE ARTHROPLASTY
01404,Anesthesia for disarticulation at knee
0140T,
0140U,NFCT DS FUNGAL PATHOGEN ID DNA 15 FUNGAL TARGETS
0141T,
0141U,NFCT DS BACT&FNG GRAM POS ORG ID & RX RESIST DNA
01420,Anesthesia for repair of cast of knee joint
0142T,
0142U,NFCT DS BACT&FNG GRAM NEG ORG ID & RX RESIST DNA
01430,Anesthesia for procedure on knee veins
01432,ANES KNEE & POPLITEAL ARTERY VEIN FISTULA NOS
0143T,
0143U,DRUG ASSAY DEF 120+ RX/METABOLITES URINE W/MRM
01440,Anesthesia for procedure on knee arteries
01442,Anesthesia for knee area thromboendarterectomy
01444,ANES ART KNEE POPLITEAL EXC&GRF/RPR OCCLS/ARYS
0144T,
0144U,DRUG ASSAY DEF 160+ RX/METABOLITES URINE W/MRM
0145T,
0145U,DRUG ASSAY DEF 65+ RX/METABOLITES URINE W/MRM
01460,
01462,Anesthesia for closed procedure on foot
01464,Anesthesia for arthroscopic procedure of foot
0146T,
0146U,DRUG ASSAY DEF 80+ RX/METABOLITES URINE W/MRM
01470,Anesthesia for procedure on nerve of foot
01472,ANES RPR RUPTURED ACHILLES TENDON W/WO GRAFT
01474,ANESTHESIA GASTROCNEMIUS RECESSION
0147T,
0147U,DRUG ASSAY DEF 85+ RX/METABOLITES URINE W/MRM
01480,ANES OPEN PROC BONES LOWER LEG/ANKLE/FOOT NOS
01482,Anesthesia for open amputation below the knee
01484,Anesthesia for osteotomy of tibia
01486,Anesthesia for total ankle replacement
0148T,
0148U,DRUG ASSAY DEF 100+ RX/METABOLITES URINE W/MRM
01490,Anesthesia for repair of cast of lower leg
0149T,
0149U,DRUG ASSAY DEF 60+ RX/METABOLITES URINE W/MRM
01500,Anesthesia for procedure on artery of lower leg
01502,ANES ART LOWER LEG W/BYP GRAFT EMBLC DIR/W/CATH
0150T,
0150U,DRUG ASSAY DEF 120+ RX/METABOLITES URINE W/MRM
0151T,
0151U,NFCT DS BCT/VIR RESPIR TRC NFCTJ DNA/RNA 33 TRGT
01520,ANESTHESIA VEINS OF LOWER LEG NOS
01522,ANES VEINS LOWER LEG VENOUS THRMBC DIR/W/CATH
0152T,
0152U,NFCT DS BCT FNG PARASITE DNA VIR DETCJ >1000 ORG
0153T,
0153U,ONC BREAST MRNA GENE EXPRESSION PRFL 101 GENES
0154T,
0154U,ONC UROTHELIAL CANCER RNA RT-PCR FGFR3 GENE ALYS
0155T,
0155U,ONC BRST CA DNA PIK3CA GENE ALYS BRST TUM TISS
0156T,
0156U,COPY NUMBER SEQUENCE ANALYSIS
0157T,
0157U,APC GENE MRNA SEQUENCE ANALYSIS
0158T,
0158U,MLH1 GENE MRNA SEQUENCE ANALYSIS
0159T,"Computer-aided detection, including computer algorithm analysis of MRI image data for lesion detection/characterization, pharmacokinetic analysis, with further physician review for interpretation, breast MRI (List separately in addition to... (Deprecated) "
0159U,MSH2 GENE MRNA SEQUENCE ANALYSIS
01600,
0160T,
0160U,MSH6 GENE MRNA SEQUENCE ANALYSIS
01610,Anesthesia for procedure on bursa of axilla
0161T,
0161U,PMS2 GENE MRNA SEQUENCE ANALYSIS
01620,ANES CLOSED HUMRL H/N STRNCLAV JOINT& SHO JOINT
01622,ANES DIAG ARTHROSCOPIC SHOULDER JOINT PROC NOS
0162T,
0162U,HERED COLON CA TARGETED MRNA SEQUENCE ALYS PANEL
01630,ANES ARTHRS HUMERAL H/N STRNCLAV & SHOULDER NOS
01632,
01634,ANESTHESIA ARTHROSCOPIC SHOULDER DISARTICULATION
01636,ANES ARTHRS INTERTHORACOSCAPULAR AMPUTATION
01638,Anesthesia for total shoulder replacement
0163T,TOT DISC ARTHRP ANT APPR DSKC PREP LMBR EA
0163U,ONC CLRCT SCR BIOCHEM ELISA 3 PLSM/SRM PRTN ALG
0164T,Removal of lower spine artificial disc
0164U,GI IBS IA ANTI-CDTB&ANTI-VINCULIN ANTB PLSM ALG
01650,ANESTHESIA ARTERIES SHOULDER & AXILLA NOS
01652,ANESTHESIA AXILLARY-BRACHIAL ANEURYSM
01654,ANES ARTERIES SHOULDER & AXILLA BYPASS GRAFT
01656,ANESTHESIA AXILLARY-FEMORAL BYPASS GRAFT
0165T,REVJ TOT DISC ARTHRP ANT APPR LMBR EA NTRSPC
0165U,PEANUT ALLG SPEC ASMT MLT EPI ELISA BLD PROB ALL
0166T,
0166U,Liver disease test panel in serum specimen
01670,ANESTHESIA VEINS SHOULDER & AXILLA
0167T,
0167U,CHORIONIC GONADOTROPIN HCG IA DIR OPT OBS BLD
01680,Anesthesia for repair of cast of shoulder
01682,"Anesthesia for shoulder cast application, removal or repair; shoulder spica (Deprecated) "
0168T,
0168U,FTL ANEUPLOIDY TRISOMY 21 18 13 DNA MAT PLSM ALG
0169T,"Stereotactic placement of infusion catheter(s) in the brain for delivery of therapeutic agent(s), including computerized stereotactic planning and burr hole(s) (Deprecated) "
0169U,NUDT15 & TPMT GENE ANALYSIS COMMON VARIANTS
01700,
0170T,
0170U,NEURO ASD RNA NEXT-GNRJ SEQ SALIVA ALG ALYS
01710,Anesthesia for procedure on bursa of elbow
01712,ANESTHESIA OPEN TENOTOMY ELBOW TO SHOULDER
01714,ANESTHESIA TENOPLASTY ELBOW TO SHOULDER
01716,ANESTHESIA BICEPS TENODESIS RUPTURE LONG TENDON
0171T,"Insertion of posterior spinous process distraction device (including necessary removal of bone or ligament for insertion and imaging guidance), lumbar; single level (Deprecated) "
0171U,TARGETED GENOMIC SEQUENCE ALYS PNL DNA 23 GENES
0172T,"Insertion of posterior spinous process distraction device (including necessary removal of bone or ligament for insertion and imaging guidance), lumbar; each additional level (List separately in addition to code for primary procedure) (Deprecated) "
0172U,ONC SLD TUM SOMATIC MUT ALYS BRCA1 BRCA2 ALG
01730,Anesthesia for closed procedure on elbow
01732,ANESTHESIA ELBOW JOINT DIAGNOSTIC ARTHROSCOPIC
0173T,
0173U,PSYCHIATRY GEN ALYS PNL W/VARIANT ALYS 14 GENES
01740,Anesthesia for open procedure on elbow
01742,Anesthesia for open osteotomy of humerus
01744,ANES OPEN/SURG ARTHRS REPRS NON/MALUNION HUMERUS
0174T,CAD CHEST RADIOGRAPH CONCURRENT W/INTERPRETATION
0174U,ONC SOLID TUM MASS SPECTROMETRIC 30 PROTEIN TRGT
01756,Anesthesia for open radical procedure of elbow
01758,ANESTH OPEN/SURG ARTHRS EXC CYST/TUMOR HUMERUS
0175T,CAD CHEST RADIOGRAPH REMOTE FROM PRIMARY INTERPJ
0175U,PSYCHIATRY GEN ALYS PNL W/VARIANT ALYS 15 GENES
01760,Anesthesia for total elbow replacement
0176T,
0176U,CDTB & VINCULIN IGG ANTIBODIES BY IMMUNOASSAY
01770,ANESTHESIA ARTERIES UPPER ARM & ELBOW NOS
01772,Anesthesia for embolectomy of artery of elbow
0177T,
0177U,ONC BRST CA DNA PIK3CA GEN ALYS 11 GEN VRNT PLSM
01780,ANESTHESIA VEINS UPPER ARM & ELBOW NOS
01782,Anesthesia for phleborrhaphy of elbow
01784,
0178T,"Electrocardiogram, 64 leads or greater, with graphic presentation and analysis; with interpretation and report (Deprecated) "
0178U,PEANUT ALLG SPEC ASMT MLT EPI ELISA BLD CLIN RXN
0179T,"Electrocardiogram, 64 leads or greater, with graphic presentation and analysis; tracing and graphics only, without interpretation and report (Deprecated) "
0179U,ONC NONSM CLL LNG CA CELL FREE DNA ALYS 23 GEN
01800,
0180T,"Electrocardiogram, 64 leads or greater, with graphic presentation and analysis; interpretation and report only (Deprecated) "
0180U,ABO GNOTYP ALYS SANGER/CHAIN SEQ ABO 7 EXONS
01810,Anesthesia for procedure on nerve of hand
0181T,"Corneal hysteresis determination, by air impulse stimulation, bilateral, with interpretation and report (Deprecated) "
0181U,CO GNOTYP GENE ANALYSIS AQP1 EXON 1
01820,Anesthesia for closed procedure on ulna
01829,ANESTHESIA DIAGNOSTIC ARTHROSCOPIC PROC WRIST
0182T,"High dose rate electronic brachytherapy, per fraction (Deprecated) "
0182U,CROM GNOTYP GENE ANALYSIS CD55 EXONS 1-10
01830,Anesthesia for open procedure on hand joint
01832,Anesthesia for total wrist replacement
0183T,
0183U,DI GNOTYP GENE ANALYSIS SLC4A1 EXON 19
01840,Anesthesia for procedure on artery of hand
01842,Anesthesia for embolectomy on artery of hand
01844,ANESTHESIA VASCULAR SHUNT/SHUNT REVISION
0184T,Removal of rectal tumor using an endoscope
0184U,DO GNOTYP GENE ANALYSIS ART4 EXON 2
01850,Anesthesia for procedure on vein of hand
01852,Anesthesia for phleborrhaphy of hand
0185T,
0185U,FUT1 GNOTYP GENE ANALYSIS FUT1 EXON 4
01860,Anesthesia for repair of cast of hand
0186T,
0186U,FUT2 GNOTYP GENE ANALYSIS FUT2 EXON 2
0187T,
0187U,FY GNOTYP GENE ANALYSIS ACKR1 EXONS 1-2
0188T,"Remote real-time interactive video-conferenced critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes (Deprecated) "
0188U,GE GNOTYP GENE ANALYSIS GYPC EXONS 1-4
0189T,"Remote real-time interactive video-conferenced critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service) (Deprecated) "
0189U,GYPA GNOTYP GENE ALYS GYPA INTRONS 1 5 EXON 2
01904,
01905,
01906,
01908,
0190T,Placement of intraocular radiation source applicator (List separately in addition to primary procedure) (Deprecated) 
0190U,GYPB GNOTYP ALYS GYPB INTRON 1 5 PSEUDOEXON 3
01910,
01912,
01914,
01916,Anesthesia for diagnostic venography
01918,
0191T,Internal insertion of eye fluid drainage device
0191U,IN GNOTYP GENE ANALYSIS CD44 EXONS 2 3 6
01920,Anesthesia for cardiac catheterization
01921,
01922,Anesthesia for radiation therapy
01924,Anesthesia for X-ray procedure on arteries
01925,ANESTHESIA CAROTID/CORONARY THER IVNTL RAD
01926,ANES ICRA ICAR/AORTIC THER IVNTL RAD ARTL
0192T,
0192U,JK GNOTYP GENE ANALYSIS SLC14A1 GEN PRMTR EXON 9
01930,ANES VENOUS/LYMPHATIC NOS THER IVNTL RAD NOS
01931,Anesthesia for X-ray procedure on liver vein
01932,ANESTHESIA INTRATHORACIC/JUGULAR THER IVNTL RAD
01933,Anesthesia for X-ray procedure on brain vein
01935,ANESTHESIA PERQ IMAGE GUIDED SPINE DIAGNOSTIC
01936,ANESTHESIA PERQ IMAGE GUIDED SPINE THERAPEUTIC
0193T,
0193U,JR GNOTYP GENE ANALYSIS ABCG2 EXONS 2-26
0194T,
0194U,KEL GNOTYP GENE ANALYSIS KEL EXON 8
01951,ANES 2/3 DGR BRN EXC/DBRDMT W/WO GRFT 4 % TBSA
01952,ANES 2/3 DGR BRN EXC/DBRDMT W/WO GRFT 4-9 % TBSA
01953,ANES 2/3 DGR BRN EXC/DBRDMT W/WO GRF EA 9% TBS
01958,ANESTHESIA EXTERNAL CEPHALIC VERSION
0195T,"Arthrodesis, pre-sacral interbody technique, disc space preparation, discectomy, without instrumentation, with image guidance, includes bone graft when performed; L5-S1 interspace (Deprecated) "
0195U,KLF1 TARGETED SEQUENCING
01960,Anesthesia for vaginal delivery
01961,Anesthesia for cesarean delivery
01962,ANES URGENT HYSTERECTOMY FOLLOWING DELIVERY
01963,Anesthesia for cesarean hysterectomy
01964,
01965,Anesthesia for missed abortion
01966,ANESTHESIA INDUCED ABORTION
01967,Neuraxial nerve analgesia for vaginal delivery
01968,ANES CESARN DLVR FLWG NEURAXIAL LABOR ANALG/ANES
01969,ANES CESARN HYST FLWG NEURAXIAL LABOR ANALG/ANES
0196T,"Arthrodesis, pre-sacral interbody technique, disc space preparation, discectomy, without instrumentation, with image guidance, includes bone graft when performed; L4-L5 interspace (List separately in addition to code for primary procedure) (Deprecated) "
0196U,LU GNOTYP GENE ANALYSIS BCAM EXON 3
0197T,"Intra-fraction localization and tracking of target or patient motion during delivery of radiation therapy (eg, 3D positional tracking, gating, 3D surface tracking), each fraction of treatment (Deprecated) "
0197U,LW GNOTYP GENE ANALYSIS ICAM4 EXON 1
0198T,MEAS OCULAR BLOOD FLOW REPEAT IO PRES SAMP W/I&R
0198U,RHD&RHCE GNOTYP SANGER/CHAIN SEQ RHD 1-10&RHCE 5
01990,Physiological support for harvesting of organs
01991,ANES DX/THER NRV BLK/NJX OTH/THN PRONE POS
01992,ANES DX/THER NERVE BLOCK/INJECTION PRONE POS
01995,
01996,DAILY HOSP MGMT EDRL/SARACH CONT DRUG ADMN
01999,Anesthesia procedure
0199T,Instrument recording of tremor with interpretation and report (Deprecated) 
0199U,SC GNOTYP GENE ANALYSIS ERMAP EXONS 4 12
0200T,PERQ SAC AGMNTJ UNI W/WO BALO/MCHNL DEV 1/> NDL
0200U,XK GNOTYP GENE ANALYSIS XK EXONS 1-3
0201T,PERQ SAC AGMNTJ BI W/WO BALO/MCHNL DEV 2/> NDLS
0201U,YT GNOTYP GENE ANALYSIS ACHE EXON 2
0202T,POST VERT ARTHRPLSTY W/WO BONE CEMENT 1 LUMB LVL
0202U,NFCT DS BCT/VIR RESPIR DNA/RNA 22 TRGT SARSCOV2
0203T,
0203U,AUTOIMMUN IBD MRNA GEN XPRSN PRFL 17 GEN WHL BLD
0204T,
0204U,ONC THYR MRNA GENE XPRSN ALYS 593 GENES FNA
0205T,"Intravascular catheter-based coronary vessel or graft spectroscopy (eg, infrared) during diagnostic evaluation and/or therapeutic intervention including imaging supervision, interpretation, and report, each vessel (List separately in addit... (Deprecated) "
0205U,OPH AGE-RELATED MAC DEGENERATION ALYS 3 GEN VRNT
0206T,"Computerized database analysis of multiple cycles of digitized cardiac electrical data from two or more ECG leads, including transmission to a remote center, application of multiple nonlinear mathematical transformations, with coronary art... (Deprecated) "
0206U,NEUROLOGY ALZHEIMER DISEASE CELL AGGREGATION
0207T,EVAC MEIBOMIAN GLNDS AUTO HT& INTMT PRESS UNI
0207U,NEUROLOGY ALZHEIMER DISEASE QUANTITATIVE IMAGING
0208T,Pure tone air hearing test
0208U,ONC MTC MRNA GENE EXPRESSION ALYS 108 GENE ALG
0209T,Pure tone air and bone hearing test
0209U,CYTOG CONST ALYS INTERROG GEN REG F/COPY NUMBER
0210T,Speech threshold hearing test
0210U,SYPHILIS TST NON-TREPONEMAL ANTIBODY IA QUAN RPR
0211T,Speech recognition hearing test
0211U,ONC PAN-TUMOR DNA&RNA NEXT-GENERATION SEQUENCING
0212T,COMPRE AUDIOM THRESHOLD EVAL & SPEECH RECOG
0212U,RARE DS WHL GEN&MITOCHDRL DNA SEQ ALYS PROBAND
0213T,NJX DX/THER PARAVER FCT JT W/US CER/THOR 1 LVL
0213U,RARE DS WHL GEN&MITOCHDRL DNA SEQ ALYS EA CMPRTR
0214T,NJX DX/THER PARAVER FCT JT W/US CER/THOR 2ND LVL
0214U,RARE DS WHL XOM&MITOCHDRL DNA SEQ ALYS PROBAND
0215T,NJX PARAVERTBRL FACET JT W/US CER/THOR 3RD&> LVL
0215U,RARE DS WHL XOM&MITOCHDRL DNA SEQ ALYS EA CMPRTR
0216T,NJX DX/THER PARAVER FCT JT W/US LUMB/SAC 1 LVL
0216U,NEURO INH ATAXIA GENOMIC DNA SEQ ALYS 12 BLD/SLV
0217T,NJX DX/THER PARAVER FCT JT W/US LUMB/SAC LVL 2
0217U,NEURO INH ATAXIA GENOMIC DNA SEQ ALYS 51 BLD/SLV
0218T,NJX PARAVERTBRL FCT JT W/US LUMB/SAC 3RD&> LVL
0218U,NEURO MUSCULAR DYSTROPHY DMD SEQ ALYS BLD/SALIVA
0219T,Insertion of upper spine facet joint implants
0219U,NFCT AGENT HIV TRGT VIRAL NEXT-GNRJ SEQ ALYS ALG
0220T,PLMT POST FACET IMPLT UNI/BI W/IMG & GRFT THOR
0220U,ONC BRST CA IMAGE ALYS W/AI ASSMT 12 FEATURES
0221T,Insertion of lower spine facet joint implants
0221U,ABO GNOTYP GENE ALYS NEXT-GENERATION SEQ ABO GEN
0222T,Insertion of spinal facet joint implants
0222U,RHD&RHCE GNOTYP NEXT-GNRJ SEQ RH PROX PROMOTER
0223T,"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; single, with interpretation and report (Deprecated) "
0223U,NFCT DS BCT/VIR RESPIR DNA/RNA 22 TRGT SARSCOV2
0224T,"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; multiple, including serial trended analysis and limited reprogramming of device parameter, AV or VV delays only, with interpretation and report (Deprecated) "
0224U,ANTB SEV AQT RESPIR SYND CORONAVIRUS 2 TITER(S)
0225T,"Acoustic cardiography, including automated analysis of combined acoustic and electrical intervals; multiple, including serial trended analysis and limited reprogramming of device parameter, AV and VV delays, with interpretation and report (Deprecated) "
0225U,NFCT DS DNA&RNA 21 TARGETS SARS-COV-2 AMP PROBE
0226T,"Anoscopy, high resolution (HRA) (with magnification and chemical agent enhancement); diagnostic, including collection of specimen(s) by brushing or washing when performed (Deprecated) "
0226U,SUROGAT VIR NEUTRLZJ TST SARSCOV2 ELISA PLSM SRM
0227T,"Anoscopy, high resolution (HRA) (with magnification and chemical agent enhancement); with biopsy(ies) (Deprecated) "
0227U,"Drug assay, presumptive, 30 or more drugs or metabolites, urine, liquid chromatography with tandem mass spectrometry (lc-ms/ms) using multiple reaction monitoring (mrm), with drug or metabolite description, includes sample validation "
0228T,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with ultrasound guidance, cervical or thoracic; single level (Deprecated) "
0228U,"Oncology (prostate), multianalyte molecular profile by photometric detection of macromolecules adsorbed on nanosponge array slides with machine learning, utilizing first morning voided urine, algorithm reported as likelihood of prostate cancer "
0229T,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with ultrasound guidance, cervical or thoracic; each additional level (List separately in addition to code for primary procedure) (Deprecated) "
0229U,"Bcat1 (branched chain amino acid transaminase 1) or ikzf1 (ikaros family zinc finger 1) (eg, colorectal cancer) promoter methylation analysis "
0230T,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with ultrasound guidance, lumbar or sacral; single level (Deprecated) "
0230U,"Ar (androgen receptor) (eg, spinal and bulbar muscular atrophy, kennedy disease, x chromosome inactivation), full sequence analysis, including small sequence changes in exonic and intronic regions, deletions, duplications, short tandem repeat (str) exp... "
0231T,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with ultrasound guidance, lumbar or sacral; each additional level (List separately in addition to code for primary procedure) (Deprecated) "
0231U,"Cacna1a (calcium voltage-gated channel subunit alpha 1a) (eg, spinocerebellar ataxia), full gene analysis, including small sequence changes in exonic and intronic regions, deletions, duplications, short tandem repeat (str) gene expansions, mobile eleme... "
0232T,NJX PLTLT PLASMA W/IMG HARVEST/PREPARATION
0232U,"Cstb (cystatin b) (eg, progressive myoclonic epilepsy type 1a, unverricht-lundborg disease), full gene analysis, including small sequence changes in exonic and intronic regions, deletions, duplications, short tandem repeat (str) expansions, mobile elem... "
0233T,Skin advanced glycation endproducts (AGE) measurement by multi-wavelength fluorescent spectroscopy (Deprecated) 
0233U,"Fxn (frataxin) (eg, friedreich ataxia), gene analysis, including small sequence changes in exonic and intronic regions, deletions, duplications, short tandem repeat (str) expansions, mobile element insertions, and variants in non-uniquely mappable regions "
0234T,TRLUML PERIPHERAL ATHERECTOMY RENAL ARTERY EA
0234U,"Mecp2 (methyl cpg binding protein 2) (eg, rett syndrome), full gene analysis, including small sequence changes in exonic and intronic regions, deletions, duplications, mobile element insertions, and variants in non-uniquely mappable regions "
0235T,TRLUML PERIPHERAL ATHERECTOMY VISCERAL ARTERY EA
0235U,"Pten (phosphatase and tensin homolog) (eg, cowden syndrome, pten hamartoma tumor syndrome), full gene analysis, including small sequence changes in exonic and intronic regions, deletions, duplications, mobile element insertions, and variants in non-uni... "
0236T,TRLUML PERIPH ATHRC W/RS&I ABDOM AORTA
0236U,"Smn1 (survival of motor neuron 1, telomeric) and smn2 (survival of motor neuron 2, centromeric) (eg, spinal muscular atrophy) full gene analysis, including small sequence changes in exonic and intronic regions, duplications and deletions, and mobile el... "
0237T,TRLUML PERIPH ATHRC W/RS&I BRCHIOCPHL EA VSL
0237U,"Cardiac ion channelopathies (eg, brugada syndrome, long qt syndrome, short qt syndrome, catecholaminergic polymorphic ventricular tachycardia), genomic sequence analysis panel including ank2, casq2, cav3, kcne1, kcne2, kcnh2, kcnj2, kcnq1, ryr2, and sc... "
0238T,TRLUML PERIPHERAL ATHERECTOMY ILIAC ARTERY EA
0238U,"Oncology (lynch syndrome), genomic dna sequence analysis of mlh1, msh2, msh6, pms2, and epcam, including small sequence changes in exonic and intronic regions, deletions, duplications, mobile element insertions, and variants in non-uniquely mappable re... "
0239T,"Bioimpedance spectroscopy (BIS), measuring 100 frequencies or greater, direct measurement of extracellular fluid differences between the limbs (Deprecated) "
0239U,"Targeted genomic sequence analysis panel, solid organ neoplasm, cell-free dna, analysis of 311 or more genes, interrogation for sequence variants, including substitutions, insertions, deletions, select rearrangements, and copy number variations "
